Title,Link,Price,Currency,Attributes,Zone
Oportunidad Unica! Depto 1d/1b En V. Mackenna. Santiago,https://www.portalinmobiliario.com/MLC-1468024017-oportunidad-unica-depto-1d1b-en-v-mackenna-santiago-_JM#position=22&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,200000,"1 dormitorio, 1 baño, 36 m² útiles",Santiago
Departamento De 1d Y 1b En San Pablo. En Santiago,https://www.portalinmobiliario.com/MLC-1478398459-departamento-de-1d-y-1b-en-san-pablo-en-santiago-_JM#position=23&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,150000,"1 dormitorio, 1 baño, 33 m² útiles",Santiago
Departamento General Baquedano,https://www.portalinmobiliario.com/MLC-2436506418-departamento-general-baquedano-id-39316-_JM#position=24&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,340000,"1 dormitorio, 1 baño, 40 m² útiles",Santiago
Departamento Rosas,https://www.portalinmobiliario.com/MLC-2436607846-departamento-rosas-id-131786-_JM#position=25&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,365000,"2 dormitorios, 1 baño, 54 m² útiles",Santiago
Departamento Calle San Ignacio De Loyola,https://www.portalinmobiliario.com/MLC-2437386446-departamento-calle-san-ignacio-de-loyola-id-41053-_JM#position=26&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,400000,"3 dormitorios, 1 baño, 50 m² útiles",Santiago
Departamento Avenida Santa Isabel,https://www.portalinmobiliario.com/MLC-2436596822-departamento-avenida-santa-isabel-id-131849-_JM#position=27&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,600000,"3 dormitorios, 2 baños, 80 m² útiles",Santiago
Depto Arriendo 2d 2b Estac Y Bod Santiago Metro Parque Almag,https://www.portalinmobiliario.com/MLC-1485325613-depto-arriendo-2d-2b-estac-y-bod-santiago-metro-parque-almag-_JM#position=28&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,500000,"2 dormitorios, 2 baños, 48 m² útiles",Santiago
Departamento Avenida España,https://www.portalinmobiliario.com/MLC-1485698159-departamento-avenida-espana-id-28344-_JM#position=29&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,450000,"2 dormitorios, 2 baños, 50 m² útiles",Santiago
Departamento Carmen,https://www.portalinmobiliario.com/MLC-1486763853-departamento-carmen-id-95019-_JM#position=30&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,420000,"1 dormitorio, 1 baño, 51 m² útiles",Santiago
Departamento Ismael Valdés Vergara,https://www.portalinmobiliario.com/MLC-2447025160-departamento-ismael-valdes-vergara-id-131686-_JM#position=31&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,unidades de fomento,60,"5 dormitorios, 4 baños, 295 m² útiles",Santiago
Departamento García Reyes,https://www.portalinmobiliario.com/MLC-1486635883-departamento-garcia-reyes-id-131699-_JM#position=32&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,280000,"1 dormitorio, 1 baño, 33 m² útiles",Santiago
Departamento Argomedo,https://www.portalinmobiliario.com/MLC-1486687223-departamento-argomedo-id-124317-_JM#position=33&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,430000,"2 dormitorios, 1 baño, 40 m² útiles",Santiago
Departamento Avenida Portugal,https://www.portalinmobiliario.com/MLC-1486814691-departamento-avenida-portugal-id-57156-_JM#position=34&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,520000,"2 dormitorios, 2 baños, 62 m² útiles",Santiago
Departamento Argomedo,https://www.portalinmobiliario.com/MLC-2449570708-departamento-argomedo-id-86453-_JM#position=35&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,500000,"2 dormitorios, 2 baños, 47 m² útiles",Santiago
Departamento Cóndor,https://www.portalinmobiliario.com/MLC-2436621140-departamento-condor-id-131895-_JM#position=36&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,300000,"1 dormitorio, 1 baño, 134 m² útiles",Santiago
Departamento Vergara,https://www.portalinmobiliario.com/MLC-2438990564-departamento-vergara-id-132154-_JM#position=37&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,440000,"1 dormitorio, 1 baño, 28 m² útiles",Santiago
Departamento Carmen,https://www.portalinmobiliario.com/MLC-2449557954-departamento-carmen-id-125841-_JM#position=38&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,400000,"2 dormitorios, 1 baño, 47 m² útiles",Santiago
Departamento Presidente Balmaceda,https://www.portalinmobiliario.com/MLC-2449507104-departamento-presidente-balmaceda-id-39747-_JM#position=39&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,415000,"2 dormitorios, 2 baños, 65 m² útiles",Santiago
Departamento Cueto,https://www.portalinmobiliario.com/MLC-2447090054-departamento-cueto-id-16197-_JM#position=40&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,425000,"2 dormitorios, 2 baños, 45 m² útiles",Santiago
Departamento Eleuterio Ramírez,https://www.portalinmobiliario.com/MLC-1485711007-departamento-eleuterio-ramirez-id-131527-_JM#position=41&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,480000,"2 dormitorios, 2 baños, 60 m² útiles",Santiago
Departamento Lira,https://www.portalinmobiliario.com/MLC-2448723068-departamento-lira-id-124943-_JM#position=42&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,400000,"1 dormitorio, 1 baño, 35 m² útiles",Santiago
Departamento Almirante Latorre,https://www.portalinmobiliario.com/MLC-1484975135-departamento-almirante-latorre-id-87537-_JM#position=43&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,315000,"1 dormitorio, 1 baño, 35 m² útiles",Santiago
Departamento General Jofré,https://www.portalinmobiliario.com/MLC-2447014632-departamento-general-jofre-id-113147-_JM#position=44&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,332000,"1 dormitorio, 1 baño, 30 m² útiles",Santiago
Departamento Serrano,https://www.portalinmobiliario.com/MLC-2449558022-departamento-serrano-id-49811-_JM#position=45&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,300000,"1 dormitorio, 1 baño, 42 m² útiles",Santiago
Departamento Moneda,https://www.portalinmobiliario.com/MLC-2447038026-departamento-moneda-id-36185-_JM#position=46&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,355000,"1 dormitorio, 1 baño, 36 m² útiles",Santiago
Departamento General Mackenna,https://www.portalinmobiliario.com/MLC-2444971336-departamento-general-mackenna-id-103584-_JM#position=47&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,310000,"1 dormitorio, 1 baño, 31 m² útiles",Santiago
Departamento Avenida Santa Rosa,https://www.portalinmobiliario.com/MLC-2438990548-departamento-avenida-santa-rosa-id-131901-_JM#position=48&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,400000,"2 dormitorios, 1 baño, 57 m² útiles",Santiago
